left_suffix3,right_prefix3,micro6,fold6_word,uplift_value,uplift_code
000,000,000000,000000,0,0
000,001,000001,000001,0,0
000,010,000010,000010,0,0
000,100,000100,000101,0,0
000,101,000101,001000,0,0
001,000,001000,010000,0,0
001,001,001001,010001,0,0
001,010,001010,010010,0,0
001,100,001100,010101,0,0
001,101,001101,100000,0,0
010,000,010000,100100,0,0
010,001,010001,100101,0,0
010,010,010010,101000,0,0
010,100,010100,101010,0,0
010,101,010101,000000,21,1
100,000,100000,010100,21,1
100,001,100001,010101,21,1
100,010,100010,000000,34,2
100,100,100100,000010,34,2
100,101,100101,000100,34,2
101,000,101000,001001,34,2
101,001,101001,001010,34,2
101,010,101010,010000,34,2
101,100,101100,010010,34,2
101,101,101101,010100,34,2
